id,xpoints,ypoints,annotationtypeid,annotation,assetcomponentid,assetcomponenttypeid,component_name,component_type_name,filename,label
298865,"2094.117431640625,2172.549072265625,1844.259764022551,1765.828123397551","35.29411315917969,2768.627197265625,2778.047296555708,44.71421244926236",3331,ok,275293,1037,AI-Insulator Long Rod_1731577884668,AI-Insulator Long Rod,PM-BB-TOWER-0019-C2-T-I(15).JPG,0
296148,"1901.431640625,1512.90625,1517.113376516836,1905.638767141836","2486.348388671875,2532.31494140625,2567.8750470945783,2521.9084943602033",3540,ok,272576,1090,AI-Armour Rod for Sus. Fitting_1731213141096,AI-Armour Rod for Sus. Fitting,PM-BB-TOWER-0016-C1-B-I(4).JPG,0
293464,"1938.997802734375,2997.8212890625,3011.385782623125,1952.562296295","2844.252197265625,2909.61181640625,2689.867507137329,2624.507887996704",3755,tilted,269892,1101,AI-Grading Ring-Twrside_1730398069867,AI-Grading Ring-Twrside,PM-BB-TOWER-0013-C1-M-I(1).JPG,12
266588,"1137.2547607421875,1581.69921875,1562.9911514124403,1118.5466934046278","2967.046630859375,2958.332275390625,2004.1943729339082,2012.9087284026582",3331,ok,243016,1037,AI-Insulator Long Rod_1729951147042,AI-Insulator Long Rod,PM-BB-TOWER-0010-C2-T-I(10).JPG,0
166926,"1629.41162109375,2164.70556640625,2137.2985820461604,1602.0046367336602","1554.90185546875,1580.39208984375,2155.937711410065,2130.447477035065",3340,ok,143356,1039,AI-Arcing Horn_1728038805692,AI-Arcing Horn,PM-BB-TOWER-0004-C1-B-I(6).JPG,0
264453,"267.8771667480469,468.1592712402344,468.90690431283537,268.62479982064787","1593.2579345703125,1593.8050537109375,1320.121473572552,1319.574354431927",3755,tilted,240881,1101,AI-Grading Ring-Twrside_1729675376676,AI-Grading Ring-Twrside,PM-BB-TOWER-0008-C1-B-I-SS(4).JPG,12
296388,"1219.6077880859375,2835.2939453125,2841.4314349928063,1225.7452777662436","2345.097900390625,2325.490234375,2831.223915716238,2850.831581731863",3348,ok,272816,1040,AI-CC Ring_1731228276444,AI-CC Ring,PM-BB-TOWER-0016-C2-T-I(12).JPG,0
294635,"1520.8052978515625,1692.9034423828125,1523.7464575938106,1351.6483130625606","1191.317626953125,1724.6329345703125,1779.2190355145299,1245.9037278973424",3662,ok,271063,1163,Ai-Copper Bond_1730868159349,Ai-Copper Bond,PM-BB-TOWER-0015-C1-0-EP(1).JPG,0
295721,"58.823524475097656,3156.862548828125,3218.461476945803,120.42245259277581","1333.3333740234375,603.921630859375,865.5514784116926,1594.9632215757551",3331,ok,272149,1037,AI-Insulator Long Rod_1731123672427,AI-Insulator Long Rod,DJI_20240112163723_0102_V.JPG,0
296581,"1963.9910888671875,2153.153076171875,2148.213995805798,1959.05200850111","206.6335906982422,192.6997833251953,125.6480269393554,139.5818343124023",3563,ok,273009,1101,AI-Grading Ring-Twrside_1731247725885,AI-Grading Ring-Twrside,PM-BB-TOWER-0017-C2-M-I(3).JPG,0
166785,"1938,2906,2906,1938","1169,1169,1587,1587",3343,wrongly placed,143215,1039,AI-Arcing Horn_1728017117239,AI-Arcing Horn,DJI_20240111152103_0124_V.JPG(1).JPG,6
