xpoints,ypoints,filename
"2094.117431640625,2172.549072265625,1844.259764022551,1765.828123397551","35.29411315917969,2768.627197265625,2778.047296555708,44.71421244926236",PM-BB-TOWER-0019-C2-T-I(15).JPG
"1901.431640625,1512.90625,1517.113376516836,1905.638767141836","2486.348388671875,2532.31494140625,2567.8750470945783,2521.9084943602033",PM-BB-TOWER-0016-C1-B-I(4).JPG
"1938.997802734375,2997.8212890625,3011.385782623125,1952.562296295","2844.252197265625,2909.61181640625,2689.867507137329,2624.507887996704",PM-BB-TOWER-0013-C1-M-I(1).JPG
"1137.2547607421875,1581.69921875,1562.9911514124403,1118.5466934046278","2967.046630859375,2958.332275390625,2004.1943729339082,2012.9087284026582",PM-BB-TOWER-0010-C2-T-I(10).JPG
"1629.41162109375,2164.70556640625,2137.2985820461604,1602.0046367336602","1554.90185546875,1580.39208984375,2155.937711410065,2130.447477035065",PM-BB-TOWER-0004-C1-B-I(6).JPG
"267.8771667480469,468.1592712402344,468.90690431283537,268.62479982064787","1593.2579345703125,1593.8050537109375,1320.121473572552,1319.574354431927",PM-BB-TOWER-0008-C1-B-I-SS(4).JPG
"1219.6077880859375,2835.2939453125,2841.4314349928063,1225.7452777662436","2345.097900390625,2325.490234375,2831.223915716238,2850.831581731863",PM-BB-TOWER-0016-C2-T-I(12).JPG
"1520.8052978515625,1692.9034423828125,1523.7464575938106,1351.6483130625606","1191.317626953125,1724.6329345703125,1779.2190355145299,1245.9037278973424",PM-BB-TOWER-0015-C1-0-EP(1).JPG
"58.823524475097656,3156.862548828125,3218.461476945803,120.42245259277581","1333.3333740234375,603.921630859375,865.5514784116926,1594.9632215757551",DJI_20240112163723_0102_V.JPG
"1963.9910888671875,2153.153076171875,2148.213995805798,1959.05200850111","206.6335906982422,192.6997833251953,125.6480269393554,139.5818343124023",PM-BB-TOWER-0017-C2-M-I(3).JPG
"1938,2906,2906,1938","1169,1169,1587,1587",DJI_20240111152103_0124_V.JPG(1).JPG
"1843.1370849609375,2740.74072265625,2712.6051317400934,1815.0014940447807","2428.677001953125,2306.67236328125,2099.675243909662,2221.679882581537",PM-BB-TOWER-0019-C1-T-I(10).JPG
"1403.8336181640625,1812.7276611328125,1803.073937336353,1394.179894367603","1527.302734375,1475.1142578125,1399.4778259248856,1451.6663024873856",PM-BB-TOWER-0012-C1-T-I(5).JPG
"2058.857666015625,2181.784912109375,2199.520464694232,2076.593218600482","2401.542724609375,2333.4599609375,2365.4824952710765,2433.5652589429515",PM-BB-TOWER-0016-C1-B-I(12).JPG
"1125.49072265625,1980.392822265625,1932.928308245957,1078.026208636582","2478.431396484375,2274.510009765625,2075.5239527106205,2279.4453394293705",PM-BB-TOWER-0016-C2-T-I(10).JPG
"1321.5684814453125,1852.9410400390625,1847.604387761833,1316.231829168083","74.50981903076172,94.11763763427734,238.74109790885095,219.13327930533532",PM-BB-TOWER-0009-C1-M-I(9).JPG
"1352.9410400390625,2694.117431640625,2723.9770056263033,1382.800614024741","1015.686279296875,956.86279296875,1637.6615383794692,1696.4850247075942",DJI_20240112164813_0173_V.JPG
"774.8485107421875,1142.1945190429688,1131.832000589156,764.4859922883747","1152.756103515625,1094.4874267578125,1029.158505598797,1087.4271823566096",PM-BB-TOWER-0008-C2-0-EP(1).JPG
"1966.9791259765625,1966.9791259765625,2007.7099609375,2007.7099609375","225.76577758789062,578.766357421875,578.766357421875,225.76577758789062",PM-BB-TOWER-0012-C2-B-I(10).JPG
"2175,2642.5673828125,2651.937325716069,2184.369942903569","1924.3243408203125,1886.486572265625,2002.2724615469226,2040.1102301016101",PM-BB-TOWER-0014-C2-T-I(4).JPG
"590.5222778320312,622.625732421875,631.5159391378447,599.412484548001","958.8663330078125,950.11083984375,982.7082438108879,991.4637369749504",PM-BB-TOWER-0008-C1-T-I-BHOPAL(1).JPG
"1535.550048828125,1860.84130859375,1862.9327812578672,1537.6415214922422","192.4140167236328,199.7102813720703,106.46561297565387,99.16934832721637",PM-BB-TOWER-0019-C1-T-I(2).JPG
"783.1080322265625,1810.13525390625,1741.4410271133488,714.4138054336613","2154.05419921875,2467.567626953125,2692.600543081751,2379.087115347376",PM-BB-TOWER-0011-C2-T-I(14).JPG
"1535.550048828125,1860.84130859375,1862.9327812578672,1537.6415214922422","192.4140167236328,199.7102813720703,106.46561297565387,99.16934832721637",PM-BB-TOWER-0019-C1-T-I(2).JPG
"1829.4114990234375,2841.17626953125,2858.056523087698,1846.2917525798857","239.21566772460938,329.4117431640625,140.05931532901562,49.86323988956249",PM-BB-TOWER-0016-C1-M-I(4).JPG
"867.1024780273438,976.8313598632812,990.0187307692509,880.2898489333134","2815.964599609375,2793.857421875,2859.3128807876856,2881.4200585220606",PM-BB-TOWER-0008-C1-B-I-SS(3).JPG
"1912.856201171875,2505.44677734375,2492.1668409952968,1899.5762648234218","206.81045532226562,137.09475708007812,24.21393782876015,93.92963607094765",PM-BB-TOWER-0011-C1-T-I(5).JPG
"1864.7698974609375,2096.831298828125,2103.3512046677806,1871.289803300593","277.9594421386719,305.3204040527344,250.0219649596658,222.6610030456033",PM-BB-TOWER-0009-C2-B-I(5).JPG
"2350.121826171875,2236.650634765625,2220.8518721540286,2334.3230635602786","2285.996337890625,2263.302001953125,2342.295475091949,2364.989811029449",PM-BB-TOWER-0015-C1-0-EP(3).JPG
"1951.7108154296875,2114.33056640625,2095.2252059335065,1932.605454956944","2178.917236328125,2307.458251953125,2331.6288168680544,2203.0878012430544",PM-BB-TOWER-0012-C1-M-I(3).JPG
"1482.352783203125,2423.529052734375,2426.4990444074074,1485.3227748761574","2850.980224609375,2829.411376953125,2959.0096627731573,2980.5785104294073",PM-BB-TOWER-0007-C1-B-I-SS(15).JPG
"1260.3948974609375,1413.98974609375,1420.7366799892177,1267.1418313564052","2914.40234375,2894.794677734375,2947.6461639634936,2967.2538299791186",PM-BB-TOWER-0009-C2-B-I(5).JPG
"2505.352783203125,2546.124755859375,2541.991797199699,2501.219824543449","10.572288513183594,11.986351013183594,131.15284999163936,129.73878749163936",PM-BB-TOWER-0007-C1-B-I-SS(12).JPG
"1858.8233642578125,2352.94091796875,2201.2746271697006,1707.157073458763","1627.450927734375,2329.41162109375,2436.171126717053,1734.210433357678",PM-BB-TOWER-0010-C1-T-I(11).JPG
"1549.0196533203125,2058.8232421875,2048.742510986918,1538.9389221197307","282.3529052734375,243.1372833251953,112.08764827809853,151.30327022634071",PM-BB-TOWER-0019-C2-T-I(14).JPG
"1776.470458984375,1996.078125,1776.5337247207908,1556.9260587051658","19.60807991027832,2890.196044921875,2906.9917794263642,36.40381441476771",PM-BB-TOWER-0014-C2-B-I(16).JPG
"1830.587158203125,958.68505859375,971.3413824981213,1843.2434821074964","1612.00390625,1749.416748046875,1829.7227459525866,1692.3099041557116",PM-BB-TOWER-0010-C1-T-I(6).JPG
"2008.7147216796875,2819.172119140625,2848.0856424065532,2037.6282449456155","2269.300537109375,2382.590576171875,2175.7482181724863,2062.4581791099863",PM-BB-TOWER-0014-C1-M-I(16).JPG
"1098.177978515625,1641.748779296875,1631.6889809658678,1088.1181801846178","1424.30615234375,1356.2078857421875,1275.9090336953714,1344.0073002969339",PM-BB-TOWER-0015-C2-0-EP(1).JPG
"1882.352783203125,2882.3525390625,3057.246728839243,2057.246972979868","2078.43115234375,2596.078369140625,2258.2147790296112,1740.5675622327362",DJI_20240112163851_0107_V.JPG
"1776.04638671875,1898.076171875,1898.4049578525878,1776.3751726963378","1106.01611328125,1107.1104736328125,1070.448251586712,1069.3538912351496",PM-BB-TOWER-0019-C1-M-I(3).JPG
"2052.287353515625,2318.082763671875,2313.1133093502954,2047.3178991940451","187.1459503173828,169.71670532226562,93.93269115371805,111.36193614883524",PM-BB-TOWER-0017-C1-T-I(15).JPG
"1960.2698974609375,2292.97900390625,2302.25127707542,1969.5421706301079","2736.078369140625,2711.56298828125,2837.4011198007024,2861.9165006600774",PM-BB-TOWER-0005-C1-0-TB(2).JPG
"1803.9215087890625,2125.490234375,2131.9016452735586,1810.3329196876214","117.64704895019531,141.17645263671875,53.553780199923565,30.024376513400128",PM-BB-TOWER-0013-C1-M-I(10).JPG
"1996.76611328125,2134.665283203125,2132.2335361692158,1994.334366247341","1104.2926025390625,1093.12939453125,1063.0900100459517,1074.2532180537642",PM-BB-TOWER-0019-C1-T-I(9).JPG
"1599.208740234375,1653.9306640625,1651.0717872827518,1596.3498634546268","570.8382568359375,577.6785278320312,600.5494400319601,593.7091690358664",PM-BB-TOWER-0008-C1-0-TB(8).JPG
"1388.235107421875,2407.8427734375,2417.090579854214,1397.482913838589","2529.41162109375,2568.627197265625,2328.183597126132,2288.968020954257",PM-BB-TOWER-0016-C2-M-I(1).JPG
"1754.24853515625,1775.051513671875,1689.7072468223805,1668.9042683067555","1618.4097900390625,1140.884765625,1137.1668139807268,1614.6918383947893",PM-BB-TOWER-0009-C1-B-I(4).JPG
"1424.01123046875,2453.6583251953125,2409.8189782661725,1380.17188353961","2409.630126953125,2187.240478515625,1984.2676489912117,2206.6572974287114",PM-BB-TOWER-0012-C2-T-I(7).JPG
"1066.6666259765625,1911.7645263671875,1918.8717293185405,1073.7738289279155","2198.0390625,2229.41162109375,2037.9614314673606,2006.5888728736106",PM-BB-TOWER-0009-C1-B-I(5).JPG
"1567.2103271484375,819.3445434570312,829.990925273472,1577.8567089648782","2627.962158203125,2741.05419921875,2811.457603464769,2698.365562449144",PM-BB-TOWER-0012-C1-B-I(4).JPG
"2701.960693359375,3352.94091796875,3323.355003401101,2672.374778791726","1329.41162109375,1376.470458984375,1785.7420469331876,1738.6832090425626",PM-BB-TOWER-AP1-C1-B-I(2).JPG
"1909.8038330078125,2231.37255859375,2283.5250085780895,1961.9562829921522","364.7058410644531,474.5097961425781,321.77762118844066,211.97366611031566",DJI_20240112165719_0027_V.JPG
"1235.2939453125,1909.8038330078125,1915.452795812468,1240.9429081171554","137.25494384765625,172.54905700683594,64.59107404864771,29.296960889468025",PM-BB-TOWER-0011-C2-M-I(5).JPG
"1890.1961669921875,2784.313720703125,2793.2949841878344,1899.177430476897","2278.431396484375,2333.333251953125,2187.066695611461,2132.164840142711",PM-BB-TOWER-0019-C2-T-I(2).JPG
"86.27462005615234,733.3333740234375,676.7599752852747,29.7012213179895","1345.0980224609375,1403.9215087890625,2026.2292837994605,1967.4057974713355",PM-BB-TOWER-0007-C1-B-I-SS(2).JPG
"1909.8038330078125,2231.37255859375,2283.5250085780895,1961.9562829921522","364.7058410644531,474.5097961425781,321.77762118844066,211.97366611031566",DJI_20240112165719_0027_V.JPG
"1611.3021240234375,1921.392822265625,1927.033760379688,1616.9430621375004","114.7711181640625,143.95611572265625,84.02112909060645,54.8361315320127",PM-BB-TOWER-0010-C1-B-I(11).JPG
"1357.8944091796875,1415.04833984375,1423.2552202893569,1366.1012896252944","765.4929809570312,775.2213745117188,727.0062737019394,717.277880147252",PM-BB-TOWER-0009-C1-B-I(5).JPG
"1847.05859375,2290.196044921875,2282.2028125375223,1839.0653613656473","43.13731002807617,50.98041534423828,502.600084166918,494.7569788507559",PM-BB-TOWER-0009-C2-B-I(9).JPG
"1470.588134765625,2035.2939453125,2053.9325130764246,1489.2267025295494","192.15684509277344,147.05880737304688,380.4460687428667,425.5441064625933",PM-BB-TOWER-0011-C2-T-I(16).JPG
"2023.5291748046875,2050.980224609375,1935.1672849145916,1907.7162351099041","47.05881881713867,2768.627197265625,2769.795342369295,48.22696392080906",PM-BB-TOWER-0010-C1-B-I(11).JPG
"1954.2958984375,1955.3514404296875,1901.8553103576667,1900.7997683654792","942.1226806640625,1039.237060546875,1039.8185131780783,942.7041332952658",PM-BB-TOWER-0013-C2-B-I(4).JPG
"2227.450927734375,1321.5679931640625,1359.2472836280076,2265.13021819832","1454.9017333984375,1623.5291748046875,1825.945969683132,1657.318528276882",PM-BB-TOWER-0014-C1-M-I(2).JPG
"858.8234252929688,2980.39208984375,2979.087220378555,857.5185558277736","2133.333251953125,2141.17626953125,2494.1488519730297,2486.3058343949047",PM-BB-TOWER-0005-C1-T-I(4).JPG
"1053.77734375,1273.1551513671875,1322.3362847862672,1102.9584771690797","1156.125732421875,1122.0843505859375,1439.0294522156223,1473.0708340515598",PM-BB-TOWER-AP1-C1-M-I(5).JPG
"2556.862548828125,2537.2548828125,2181.783839378629,2201.391505394254","54.902015686035156,2945.097900390625,2942.6863138491162,52.49042914452658",PM-BB-TOWER-0014-C1-M-I(9).JPG
"1581.0184326171875,2382.88232421875,2388.6659723900852,1586.8020807885225","2858.748046875,2822.437255859375,2950.15958028699,2986.470371302615",PM-BB-TOWER-0007-C1-M-I-BHOPAL(13).JPG
"1785.8206787109375,1928.5535888671875,1926.125211684337,1783.392301528087","1114.5478515625,1108.62060546875,1050.14330643594,1056.07055252969",PM-BB-TOWER-0016-C1-B-I(12).JPG
"2135.92529296875,2078.43310546875,1767.2064979103293,1824.6986854103293","2169.839111328125,2483.019775390625,2425.8863041072036,2112.7056400447036",PM-BB-TOWER-0018-C1-B-I-BHOPAL(1).JPG
"1909.8038330078125,2164.70556640625,2239.1404627104025,1984.238729311965","2764.70556640625,2898.0390625,2755.737355508678,2622.403859414928",PM-BB-TOWER-0012-C1-T-I(15).JPG
"411.7644958496094,3631.3720703125,3638.4332543572214,418.8256798943307","2572.549072265625,2517.646728515625,2931.731812725918,2986.634156475918",PM-BB-TOWER-0006-C1-B-I(3).JPG
"1974.3868408203125,2095.4228515625,2098.6358020117036,1977.5997912695161","1149.833251953125,1163.071533203125,1133.6959142885519,1120.4576330385519",PM-BB-TOWER-0014-C2-T-I(8).JPG
"1977.2012939453125,2098.918212890625,2091.792044838996,1970.0751258936832","976.6701049804688,992.0947265625,1048.3278869365133,1032.903265354482",PM-BB-TOWER-0011-C2-B-I(1).JPG
"1942.38232421875,2015.3448486328125,2014.5444947218261,1941.5819703077636","1941.788818359375,1943.0048828125,1991.025233724139,1989.809169271014",PM-BB-TOWER-0006-C1-0-TB(6).JPG
"2152.128173828125,2268.868408203125,2263.1851132490933,2146.4448788740933","1310.093505859375,1293.0689697265625,1254.0976180386208,1271.1221541714333",PM-BB-TOWER-0008-C2-0-EP(1).JPG
"1552.3353271484375,1598.7813720703125,1619.8921997025009,1573.4461547806259","16.8424015045166,5.864218235015869,95.17903695066046,106.1572202201612",PM-BB-TOWER-0007-C1-B-I-SS(12).JPG
"1181.267822265625,1306.6722412109375,1300.443500327157,1175.0390813818444","1771.070068359375,1747.50927734375,1714.356246497994,1737.917037513619",DJI_20240112164437_0144_V.JPG
"1520.1990966796875,1575.3587646484375,1567.5093288881544,1512.3496609194044","507.5335998535156,508.846923828125,838.5235905531229,837.2102665785135",PM-BB-TOWER-0007-C1-0-TB(8).JPG
"1337.2550048828125,2427.450927734375,2440.9598027835677,1350.7638799320052","1717.6468505859375,1752.9410400390625,1335.6678081236298,1300.3736186705048",PM-BB-TOWER-0009-C2-M-I(3).JPG
"2049.431884765625,2089.70703125,2093.7217684263705,2053.4466219419955","1722.130615234375,1718.62841796875,1764.7977555619427,1768.2999528275677",PM-BB-TOWER-0007-C1-0-EP(1).JPG
"2583,3518,3518,2583","2001,2001,2266,2266",PM-BB-TOWER-0003-C1-0-EP(1).JPG
"139.43360900878906,1224.4010009765625,1308.1834496232161,223.21605765544274","1459.47705078125,1298.257080078125,1862.0906076764013,2023.3105783795263",PM-BB-TOWER-0002-C1-0-EP(2).JPG
"1388.236083984375,1435.294921875,1488.5415788170362,1441.4827409264112","1854.902099609375,2011.7647705078125,1995.7907609942592,1838.9280900958217",PM-BB-TOWER-0018-C2-B-JC(2).JPG
"2552.734375,3720.702880859375,3615.1255414078073,2447.1570355484323","1328.125,1648.4376220703125,2033.4084253275987,1713.0958032572864",PM-BB-TOWER-0002-C1-0-EP(3).JPG
"2670.24072265625,2820.02734375,2777.344273322494,2627.557652228744","958.2586669921875,884.9536743164062,797.73788363323,871.0428763090113",DJI_20240112164437_0144_V.JPG
"2908.027587890625,3298.368896484375,3315.119244081139,2924.777935487389","2057.660400390625,2021.349609375,2201.4159868193115,2237.7267778349365",PM-BB-TOWER-0004-C1-0-TB(9).JPG
"1732.3831787109375,2032.441650390625,2027.92766158135,1727.8691899016626","321.70599365234375,294.34503173828125,244.8416338846376,272.2025957987001",PM-BB-TOWER-0019-C2-T-I(11).JPG
"1337.690673828125,1934.640380859375,1887.3001779405058,1290.3504709092558","2959.476806640625,2815.68603515625,2619.152419184312,2762.943190668687",PM-BB-TOWER-0012-C1-T-I(10).JPG
"1384.3138427734375,2294.117431640625,2223.2068148261833,1313.403225958996","2839.215576171875,2498.0390625,2308.9441773561425,2650.1206910280175",DJI_20240112164555_0154_V.JPG
"1805.2474365234375,1854.1783447265625,1927.7200946017247,1878.7891863985997","1050.0438232421875,2181.69580078125,2178.5159675077166,1046.8639899686539",PM-BB-TOWER-0011-C2-B-I(11).JPG
"2314.49072265625,2825,2841.293613654842,2330.784336311092","1579.7115478515625,1625.6756591796875,1444.7074931061286,1398.7433817780036",PM-BB-TOWER-0009-C2-0-EP(3).JPG
"2599.999755859375,3603.92138671875,3609.8697076579424,2605.9480767985674","2043.1370849609375,2070.588134765625,1853.0500769996493,1825.5990271949618",PM-BB-TOWER-0010-C1-0-EP(3).JPG
"1917.6468505859375,2796.078369140625,2818.294832472561,1939.8633139178735","1937.2547607421875,2031.3724365234375,1824.0188075733804,1729.9011317921304",PM-BB-TOWER-0011-C2-B-I(5).JPG
"1043.136962890625,2327.450439453125,2503.9201719199723,1219.6066953574725","1725.4898681640625,1431.372314453125,2201.9569081061045,2496.074461817042",PM-BB-TOWER-0013-C2-0-TB(12).JPG
